[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[ERROR]	H2B Not Found: ../Models/Wonder_SecondAge_Level3.h2b
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[EVENT]	GAME LEVEL WAS LOADED TO CPU [DATA ORIENTED]
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[EVENT]	LOADING GAME LEVEL [OBJECT ORIENTED]
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[MESSAGE]	Begin Reading Game Level Text File.
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Model Detected: Archery_SecondAge_Level3
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Location: X 4.604200 Y 0.000000 Z -1.266500
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[ERROR]	H2B Not Found: ../Models/Archery_SecondAge_Level3.h2b
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Model Detected: Barracks_SecondAge_Level3
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Location: X 0.949600 Y 0.000000 Z 9.892100
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[ERROR]	H2B Not Found: ../Models/Barracks_SecondAge_Level3.h2b
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Model Detected: Farm_SecondAge_Level3
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Location: X 4.812300 Y 0.000000 Z 3.161400
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[ERROR]	H2B Not Found: ../Models/Farm_SecondAge_Level3.h2b
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Model Detected: Farm_SecondAge_Level3_Wheat
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Location: X 4.838800 Y 0.000000 Z 3.153600
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[MESSAGE]	Begin Importing .H2B File Data.
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[ERROR]	H2B Not Found: ../Models/Farm_SecondAge_Level3_Wheat.h2b
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[WARNING]	Loading will continue but model(s) are missing.
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[MESSAGE]	Importing of .H2B File Data Complete.
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Model Detected: Houses_SecondAge_3_Level1
[Thu Jul  6 23:24:37 2023] ThreadID[39412]	[INFO]	Location: X 4.837600 Y -0.000000 Z 8.649200
